               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086888,            0.054176,                   0,             0.33422,             0.50168,             0.31942,             0.10741,            0.054563,            0.035898,                   0,            0.070455,           0.0032828,           0.0032828
                   1,            0.065281,            0.045144,                   0,             0.31761,             0.56903,             0.38391,             0.14709,            0.059116,            0.021797,                   0,            0.040389,           0.0065507,           0.0065507
                   2,            0.059528,            0.038446,                   0,             0.34212,             0.69895,             0.36012,             0.13992,            0.047017,            0.022296,                   0,            0.010258,           0.0097525,           0.0097525
                   3,            0.054205,            0.036834,                   0,             0.81456,             0.81073,             0.82107,             0.36603,            0.039239,              0.0205,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048164,            0.033915,                   0,             0.81887,             0.81491,             0.83227,             0.37716,            0.037893,            0.020165,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.04557,            0.036431,                   0,             0.88693,             0.86553,               0.896,             0.44774,            0.034329,            0.018705,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.043299,            0.035419,                   0,             0.88205,             0.87292,             0.90604,             0.47193,            0.035504,            0.018718,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042401,            0.035055,                   0,             0.89606,             0.87752,             0.92573,             0.47932,            0.031949,            0.018406,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041525,            0.031462,                   0,             0.90668,             0.88034,             0.91841,             0.49452,            0.031694,            0.018092,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040979,            0.035741,                   0,             0.89447,             0.89789,             0.92807,             0.49515,            0.032643,            0.018019,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.039111,            0.035518,                   0,             0.92063,             0.91186,             0.94733,             0.54173,            0.029467,            0.016991,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.039566,            0.032072,                   0,             0.92518,             0.90532,             0.94086,             0.53374,            0.029154,            0.017165,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.039594,            0.032108,                   0,             0.92529,             0.92809,             0.95327,             0.54439,            0.028985,            0.016732,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.037533,            0.029935,                   0,              0.9392,             0.92932,             0.95723,             0.54425,            0.028598,            0.016129,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.038709,            0.035423,                   0,             0.92151,             0.85268,             0.90362,             0.52709,            0.029954,            0.018185,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.036281,            0.031781,                   0,             0.93501,             0.92785,             0.95651,              0.5819,            0.026365,            0.016089,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.035851,            0.029644,                   0,             0.94941,              0.9311,             0.96543,             0.57893,            0.026569,            0.015744,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.034641,             0.03048,                   0,             0.95206,             0.94032,             0.97031,              0.5881,             0.02632,            0.015482,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.035385,            0.030368,                   0,             0.94843,             0.93289,             0.96176,             0.58874,            0.025819,            0.015511,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.034386,            0.030646,                   0,             0.95567,              0.9405,             0.96965,             0.61012,            0.024862,            0.015241,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.034463,            0.030353,                   0,             0.95388,             0.94696,             0.97218,             0.60429,            0.025774,            0.015016,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.033217,            0.029233,                   0,             0.96805,             0.94199,             0.97331,             0.62539,             0.02504,              0.0149,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.034702,            0.031846,                   0,             0.96349,             0.95014,             0.97749,             0.63543,            0.023825,             0.01448,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.033033,            0.029238,                   0,             0.95901,             0.96429,             0.98105,             0.64494,              0.0243,            0.014278,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.032469,            0.028069,                   0,             0.96823,             0.96021,             0.97991,             0.65464,            0.022724,             0.01405,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.031985,             0.02717,                   0,             0.96768,             0.96045,             0.97964,             0.65299,            0.022999,            0.013981,                   0,            0.007624,            0.007624,            0.007624
                  26,             0.03146,            0.029006,                   0,             0.97151,             0.96069,             0.98282,             0.67395,            0.021933,            0.013932,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.030751,            0.027462,                   0,             0.96189,             0.96524,             0.98153,             0.65698,            0.023309,            0.013943,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.030546,            0.026935,                   0,             0.96832,             0.95901,             0.97922,             0.66501,            0.021491,            0.013564,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030662,             0.02745,                   0,             0.97782,             0.96117,              0.9839,             0.68122,            0.021086,            0.013366,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.03109,            0.027428,                   0,             0.97817,             0.96357,             0.98065,             0.67399,            0.021871,            0.013263,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029192,            0.023985,                   0,             0.97449,             0.96131,             0.98316,             0.67735,            0.021487,            0.013387,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.029604,            0.026858,                   0,              0.9793,             0.96385,             0.98644,             0.69145,             0.02065,            0.013036,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.028701,            0.024805,                   0,             0.97628,             0.96685,             0.98439,             0.71371,            0.019849,            0.012652,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.029006,            0.026258,                   0,             0.98232,             0.97227,             0.98703,             0.72046,            0.019646,            0.012284,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.029624,            0.025608,                   0,             0.97528,             0.96596,             0.98574,             0.70791,            0.020006,            0.012772,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.028691,            0.024679,                   0,             0.97791,             0.97609,             0.99033,             0.72794,            0.018686,            0.012104,                   0,            0.006535,            0.006535,            0.006535
                  37,             0.02716,            0.025619,                   0,             0.98449,             0.97352,             0.99085,             0.74266,            0.017968,            0.011739,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.028089,            0.025404,                   0,             0.98402,             0.97415,             0.99114,              0.7476,            0.017887,            0.011637,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.027431,            0.024744,                   0,             0.98281,             0.97387,             0.98899,             0.74514,            0.017719,            0.011787,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.026937,            0.023364,                   0,             0.98798,             0.97819,             0.98806,              0.7484,            0.017644,              0.0116,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.026477,            0.024648,                   0,             0.98525,             0.97663,             0.99189,             0.75277,            0.017649,            0.011492,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026869,            0.025633,                   0,             0.98477,             0.97665,             0.99205,              0.7621,             0.01669,            0.011269,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026234,            0.025134,                   0,              0.9896,             0.97867,              0.9931,             0.75932,            0.017584,            0.011154,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026512,            0.023875,                   0,             0.98987,             0.97891,             0.99299,             0.76254,            0.017963,            0.011194,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026181,            0.022799,                   0,             0.98839,             0.97944,             0.99341,             0.77021,            0.017121,             0.01105,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024939,            0.023111,                   0,             0.99107,              0.9838,             0.99332,             0.75675,            0.017761,            0.010933,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025588,            0.022768,                   0,             0.98882,             0.98202,             0.99308,              0.7855,            0.016481,            0.010713,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024594,            0.023421,                   0,             0.98954,             0.98106,             0.99308,             0.78456,            0.016276,            0.010568,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.024969,            0.023803,                   0,             0.99146,             0.98394,             0.99318,             0.78869,            0.015823,            0.010488,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.024387,            0.022265,                   0,             0.99346,             0.98306,             0.99386,             0.79588,            0.015347,            0.010315,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023685,            0.022937,                   0,              0.9925,             0.98304,             0.99341,             0.80034,            0.015235,             0.01008,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023803,             0.02366,                   0,             0.99296,             0.98274,             0.99308,              0.8032,            0.015034,            0.010064,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.024276,            0.022981,                   0,             0.99419,             0.98538,             0.99337,             0.80373,            0.014681,           0.0099738,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023856,            0.023232,                   0,             0.99443,             0.98394,             0.99321,             0.81025,            0.014675,            0.009866,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023243,            0.023373,                   0,             0.99583,              0.9861,             0.99383,              0.8107,            0.014857,           0.0096972,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.02299,            0.020746,                   0,             0.99612,             0.98384,             0.99394,             0.81903,            0.014207,           0.0097207,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023349,            0.022732,                   0,              0.9939,             0.98562,              0.9941,             0.81648,            0.014063,           0.0095629,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022093,            0.021036,                   0,             0.99443,             0.98492,             0.99396,             0.81459,            0.014088,           0.0094645,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021928,            0.020903,                   0,              0.9945,              0.9861,             0.99433,             0.82384,            0.013653,           0.0094357,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022763,            0.021342,                   0,             0.99338,              0.9861,             0.99416,             0.83578,            0.013648,           0.0092036,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021512,            0.021023,                   0,             0.99325,             0.98704,             0.99423,             0.83738,            0.013364,           0.0090993,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022467,             0.02071,                   0,             0.99516,             0.98573,             0.99431,             0.83237,            0.013488,           0.0091513,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021103,            0.020297,                   0,             0.99389,             0.98586,             0.99444,             0.84267,            0.013198,           0.0088457,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021314,            0.020007,                   0,             0.99496,              0.9849,             0.99453,             0.83737,            0.013451,            0.008986,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.020823,            0.020156,                   0,             0.99492,             0.98677,             0.99454,             0.84937,            0.012664,           0.0086449,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021152,            0.020712,                   0,             0.99734,             0.98711,             0.99462,              0.8548,            0.012513,           0.0085743,                   0,            0.003565,            0.003565,            0.003565
                  67,              0.0213,            0.021559,                   0,             0.99733,             0.98655,              0.9947,              0.8558,            0.012384,           0.0084849,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.020939,            0.019636,                   0,             0.99734,             0.98741,             0.99465,             0.85556,            0.012162,           0.0085257,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.020052,            0.019772,                   0,             0.99588,             0.98849,             0.99475,             0.85847,            0.012216,           0.0083985,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.019825,            0.019465,                   0,             0.99674,             0.98826,             0.99473,             0.86406,            0.011863,           0.0082048,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.019163,            0.018643,                   0,             0.99675,             0.98778,             0.99467,             0.86421,            0.011697,           0.0082584,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019886,            0.019515,                   0,             0.99613,             0.98767,              0.9947,             0.86803,            0.011561,           0.0081347,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.018892,            0.019955,                   0,              0.9983,             0.98797,              0.9947,             0.87081,             0.01151,           0.0080571,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.019531,            0.020217,                   0,             0.99762,             0.98826,             0.99468,             0.87413,            0.011549,           0.0081147,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018906,            0.018912,                   0,              0.9978,             0.98849,             0.99472,             0.87753,            0.011311,           0.0078412,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019255,            0.019353,                   0,             0.99782,             0.98897,             0.99482,             0.87983,            0.011214,           0.0078232,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018716,            0.019701,                   0,             0.99679,             0.99017,             0.99467,             0.88616,            0.010761,           0.0076573,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018537,             0.01905,                   0,             0.99614,             0.98918,             0.99472,             0.88804,            0.010708,           0.0075683,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018207,            0.018921,                   0,             0.99777,             0.98754,             0.99476,             0.88991,            0.010382,           0.0074397,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018203,             0.01942,                   0,             0.99692,             0.98921,             0.99473,             0.89124,            0.010408,           0.0074757,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.01776,            0.016838,                   0,             0.99782,             0.98921,             0.99476,             0.89407,            0.010265,           0.0073862,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017484,            0.017627,                   0,             0.99734,             0.98949,             0.99478,             0.89335,            0.010354,           0.0073996,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017621,            0.017911,                   0,             0.99806,             0.98846,             0.99474,             0.89377,            0.010267,           0.0072857,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017681,            0.018407,                   0,             0.99832,             0.98826,             0.99476,             0.89684,            0.010082,           0.0071861,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017208,             0.01701,                   0,             0.99855,             0.98972,             0.99482,             0.89736,           0.0099395,           0.0072079,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017097,            0.018483,                   0,             0.99831,               0.989,              0.9948,              0.9064,           0.0097677,           0.0070042,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.017596,            0.018013,                   0,             0.99864,             0.98993,             0.99481,             0.90514,            0.009577,           0.0070238,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.017074,            0.016693,                   0,             0.99831,             0.98901,             0.99483,             0.90595,            0.009573,           0.0069479,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017435,            0.017863,                   0,             0.99831,             0.98954,             0.99486,             0.91209,           0.0092368,           0.0067077,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016523,            0.016431,                   0,             0.99904,             0.98897,             0.99485,             0.91237,           0.0093574,            0.006756,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016437,            0.016774,                   0,             0.99896,             0.98945,             0.99484,             0.91315,           0.0092022,           0.0066993,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.01616,            0.015934,                   0,             0.99879,              0.9892,              0.9948,             0.91703,           0.0089703,           0.0065805,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017095,            0.017403,                   0,             0.99741,             0.98969,             0.99483,             0.91739,           0.0087708,           0.0064653,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016434,            0.016824,                   0,             0.99759,             0.99025,             0.99483,             0.92002,           0.0086379,           0.0064121,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016124,            0.015447,                   0,             0.99759,             0.98969,             0.99483,             0.92113,           0.0086033,           0.0063326,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.016117,            0.017891,                   0,             0.99837,             0.98945,             0.99482,             0.92484,           0.0084541,           0.0062494,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016224,            0.016682,                   0,             0.99889,             0.98897,             0.99484,              0.9256,           0.0084392,           0.0061705,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016369,            0.017222,                   0,             0.99879,             0.98952,             0.99481,              0.9276,           0.0083672,           0.0061371,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.015427,            0.015661,                   0,             0.99886,             0.98849,             0.99481,             0.92792,           0.0082967,           0.0061058,                   0,            0.000298,            0.000298,            0.000298
